cust,st,g,a,salesrev
Alfreda Mendoza,FL,Female,60,$270
Alfreda Whitfield,PA,Female,24,$683
Alice Gates,FL,Female,52,$40
Alice McLeod,TN,Female,43,$160
Aline Adams,AZ,Female,58,$20
Aline Wong,GA,Female,53,$540
Alisa Dejesus,CO,Female,53,$200
Alisa Holt,TX,Female,61,$199
Alisa Morse,NC,Female,35,$120
Alisha Daniel,TX,Female,41,$60
Alisha Hardin,NM,Female,47,$289
Alisha Santana,UT,Female,59,$134
Alison Baker,CO,Female,34,$133
Alison Farrell,CT,Female,24,$379
Alison Finch,CO,Female,63,$124
Alison Jordan,GA,Female,57,$466
Alison Rhodes,TX,Female,45,$174
Alissa Coleman,OR,Female,67,$420
Alissa Mathis,TN,Female,59,$90
Alissa Suarez,CA,Female,63,$56
Allie Reed,NY,Female,58,$132
Allison Beck,TX,Female,72,$320
Allyson Perez,GA,Female,74,$419
Allyson Walton,FL,Female,70,$40
Alma Brown,RI,Female,61,$168
Alma Meyers,NC,Female,26,$490
Alonso Carson,NY,Male,73,$80
Alonzo Beard,CO,Male,28,$79
Alonzo Hoffman,TX,Male,77,$1519
Alonzo Ruiz,TX,Male,73,$140
Alphonse Macdonald,AZ,Male,34,$180
Alphonse McDowell,RI,Male,51,$246
Alphonse Welch,CA,Male,32,$80
Alphonso England,WA,Male,25,$110
Alphonso Hinton,TN,Male,62,$39
Alphonso Morrow,NC,Male,24,$449
Alphonso Shannon,FL,Male,94,$709
Alta Bender,FL,Female,64,$91
Alta Bruce,GA,Female,57,$704
Alta Coffey,TN,Female,59,$86
Alta Holland,VA,Female,27,$500
Althea Sanders,VA,Female,74,$200
Althea Saunders,PA,Female,37,$592
Alvin Dawson,NJ,Male,71,$332
Alvin Dillard,NC,Male,52,$599
Alvin York,SC,Male,70,$280
Alyce Gay,AZ,Female,85,$190
Alyce Ward,LA,Female,29,$150
Alyson Garza,NY,Female,59,$229
Alyson Roth,FL,Female,58,$509
Alyson Serrano,NY,Female,31,$219
Alyson Simmons,TN,Female,54,$334
Alyssa Berg,OH,Female,38,$389
Amado Cabrera,VA,Male,25,$225
Amado Dillon,FL,Male,83,$202
Amado Lowe,TX,Male,35,$559
Amalia Drake,PA,Female,64,$931
Amalia Hodge,MA,Female,55,$104
Amalia Irwin,SC,Female,25,$1127
Amalia Kaufman,FL,Female,96,$639
Amalia Tran,VA,Female,64,$316
Amber Mack,CT,Female,57,$78
Amelia Peters,LA,Female,25,$160
Amelia Rose,CT,Female,74,$404
Amelia Wheeler,AL,Female,72,$40
Amie Donovan,AL,Female,28,$224
Amos Cherry,MA,Male,26,$20
Amos Fulton,FL,Male,72,$120
Amos Mason,FL,Male,80,$90
Amos Middleton,FL,Male,80,$285
Amparo Bryant,CA,Female,62,$199
Amparo Carroll,NJ,Female,55,$68
Amparo Klein,NM,Female,47,$171
Amparo Raymond,VA,Female,56,$294
Amparo West,AZ,Female,43,$140
Amy Wood,OH,Female,75,$819
Ana Bird,NC,Female,45,$731
Anastasia Alford,NY,Female,55,$629
Anastasia Coleman,NY,Female,56,$249
Anastasia Cummings,TX,Female,50,$194
Anastasia Hinton,CA,Female,46,$300
Anastasia Horn,AL,Female,70,$26
Anastasia Hurst,NY,Female,71,$1013
Andre Alford,CT,Male,37,$540
Andrea Glover,PA,Female,63,$35
Andrea Head,AZ,Female,77,$75
Andrea Hines,CT,Female,33,$192
Andrew Harmon,TX,Male,81,$180
Andrew Slater,MA,Male,54,$240
Andrew Sullivan,NC,Male,35,$15
Andy Ramsey,FL,Male,72,$540
Angel Gill,LA,Female,73,$104
Angel Vega,VA,Female,58,$789
Angela Dale,TX,Female,58,$240
Angela Flowers,FL,Female,88,$955
Angelia Cannon,NY,Female,72,$125
Angelia Erickson,FL,Female,92,$326
Angelina Hughes,FL,Female,71,$339
Angeline Bruce,TN,Female,45,$270
Angeline Meyers,PA,Female,38,$140
Angelique Bullock,CA,Female,56,$269
Angelique Figueroa,TX,Female,44,$256
Angelique Holcomb,FL,Female,67,$140
Angelique Joseph,CA,Female,39,$52
Angelique Miranda,WA,Female,34,$91
Angelique Robinson,TX,Female,66,$290
Angelita Blair,MA,Female,33,$95
Angelo Garza,SC,Male,60,$70
Angelo Joyner,CT,Male,28,$140
Angelo Keller,FL,Male,45,$180
Angelo Rogers,FL,Male,95,$464
Angelo Sherman,FL,Male,93,$329
Angelo Yang,AZ,Male,70,$80
Angie Golden,TX,Female,60,$307
Anita Trevino,FL,Female,48,$154
Ann Gilliam,OR,Female,60,$25
Ann Hammond,CT,Female,24,$199
Ann Holden,GA,Female,71,$258
Ann Kemp,CA,Female,71,$168
Anna Burton,NJ,Female,67,$186
Anna Chase,CA,Female,39,$334
Anna Collins,CA,Female,44,$271
Anna Tucker,CT,Female,56,$274
Annabelle Maynard,TX,Female,44,$999
Annette Alexander,NY,Female,30,$329
Annette Guerrero,TX,Female,81,$509
Annette Riley,FL,Female,68,$1184
Annie Guthrie,FL,Female,95,$296
Annie Robertson,FL,Female,61,$969
Annie Russell,NY,Female,28,$414
Anthony Bennett,AZ,Male,38,$419
Anthony Briggs,PA,Male,32,$515
Antione Marks,FL,Male,77,$203
Antoine Cannon,GA,Male,22,$197
Antoine Waller,FL,Male,60,$105
Antoinette Montoya,TX,Female,61,$460
Anton Cherry,FL,Male,92,$112
Antone Trevino,TN,Male,27,$106
Antonia Rios,FL,Female,82,$308
Antonia Tillman,TX,Male,66,$120
Antonio Lopez,TX,Male,81,$300
Antonio Maynard,TX,Male,42,$10
Antonio Ramos,FL,Male,63,$269
Antony Sharp,GA,Male,62,$15
April Ashley,FL,Female,64,$10
April Delacruz,TX,Female,74,$100
April Lane,GA,Female,47,$312
Araceli Atkins,VA,Female,28,$160
Araceli Gamble,NH,Female,48,$323
Araceli McBride,FL,Female,84,$104
Araceli Taylor,FL,Female,59,$317
Archie Dotson,AZ,Male,61,$91
Archie Kramer,CO,Male,31,$330
Archie Ryan,TX,Male,43,$355
Arden McFadden,NY,Male,28,$25
Ariel Benton,CO,Male,64,$160
Ariel Walton,TX,Male,40,$598
Arlen Contreras,FL,Male,69,$40
Arlen Ferguson,TN,Male,35,$399
Arlen Frank,GA,Male,47,$299
Arlene Dodson,TX,Female,81,$132
Arlie Austin,GA,Male,65,$450
Arline Goodman,AL,Female,63,$193
Armand Huff,FL,Male,49,$272
Armand Oneal,CT,Male,31,$315
Armand Shepherd,CA,Male,70,$96
Arnold Wright,CO,Male,51,$7
Arnoldo Beach,GA,Male,42,$60
Arnoldo Rosales,NY,Male,69,$39
Arnoldo Santos,FL,Male,82,$60
Arnulfo Blake,NC,Male,67,$300
Arnulfo Clarke,MA,Male,64,$256
Arnulfo Silva,GA,Male,28,$319
Arnulfo Trujillo,VA,Male,47,$105
Aron Hicks,OR,Male,66,$217
Aron Lara,NC,Male,47,$299
Arron McGee,NY,Male,38,$799
Art Britt,CO,Male,41,$324
Arthur Crosby,RI,Male,45,$90
Arthur Giles,CT,Male,59,$62
Asa Frost,CA,Male,73,$120
Ashlee Clemons,FL,Female,54,$186
Ashlee McClain,NC,Female,26,$289
Ashlee Simmons,UT,Female,42,$90
Ashlee Stanton,AZ,Female,66,$259
Ashlee Trujillo,FL,Female,48,$939
Ashlee Wiley,UT,Female,33,$185
Ashley Dominguez,NM,Female,38,$344
Ashley Green,NH,Female,46,$217
Ashley Mullins,CA,Female,40,$433
Ashley Pollard,AZ,Male,53,$156
Aubrey Jordan,CO,Male,60,$270
Aubrey Ratliff,MA,Male,63,$300
Audra Graham,CA,Female,36,$800
Audrey Carver,GA,Female,37,$270
August Atkins,VA,Male,26,$354
Augusta Coffey,NY,Female,57,$189
Augustus Faulkner,AL,Male,30,$240
Augustus Stanley,NY,Male,47,$155
Aurelia Blanchard,FL,Female,69,$214
Aurelia Flores,MA,Female,45,$156
Aurelia Hayes,FL,Female,71,$229
Aurelia Shepherd,GA,Female,31,$411
Aurelio Hamilton,NY,Male,23,$316
Aurelio Payne,NY,Male,46,$186
Aurora Bryan,TX,Female,72,$52
Austin Price,MA,Male,33,$375
Austin Weiss,GA,Male,51,$644
Autumn Gilmore,NC,Female,67,$519
Autumn McCray,FL,Female,52,$104
Ava Frye,CO,Female,48,$350
Avery Blake,CT,Male,32,$140
Avery Carey,CA,Male,49,$488
Avery Meadows,CA,Male,66,$349
Avery Pratt,PA,Male,21,$270
Barbra Carter,AZ,Female,85,$270
Barbra Mooney,VA,Female,37,$117
Barney Adkins,LA,Male,25,$491
Barney Blair,NC,Male,59,$376
Barney Hinton,NM,Male,35,$367
Barney Stokes,AL,Male,70,$49
Barrett Kinney,FL,Male,94,$20
Barrett Nolan,CA,Male,55,$265
Barrett Weeks,TN,Male,37,$399
Barrett Wolfe,TN,Male,30,$1400
Barry Medina,TX,Male,49,$240
Barry Smith,PA,Male,31,$264
Bart Sanchez,CA,Male,48,$699
Basil Adams,TX,Male,68,$204
Basil Hodges,CA,Male,30,$264
Beatrice Campos,GA,Female,47,$26
Beatrice Clay,TX,Female,39,$240
Beatrice Ortiz,TN,Female,55,$303
Beatriz Rodgers,CA,Female,72,$633
Beau Maxwell,NC,Male,56,$120
Belinda Berg,CA,Female,36,$78
Belinda Watkins,FL,Female,77,$439
Ben Reyes,CT,Male,65,$168
Benedict Stevens,FL,Male,56,$120
Benita Combs,NY,Female,75,$299
Benita Gonzales,TX,Female,83,$30
Benita Thornton,CT,Female,46,$1013
Benito Rodriquez,FL,Male,52,$15
Benjamin Kennedy,NC,Male,31,$245
Benjamin Riggs,NJ,Male,39,$599
Bennett Mercer,CA,Male,74,$180
Bennett Wilder,CA,Male,62,$210
Benton Barker,MA,Male,34,$160
Benton Langley,NY,Male,65,$60
Benton Pierce,FL,Male,94,$225
Bernadette Hinton,CT,Female,39,$311
Bernadette Parrish,TX,Female,62,$42
Bernadette Thornton,GA,Female,60,$555
Bernadine Cruz,CO,Female,40,$234
Bernard Brewer,GA,Male,29,$30
Bernard Knowles,GA,Male,31,$22
Bernardo Beard,FL,Male,45,$649
Bernardo Stanton,CA,Male,70,$280
Bernardo Vance,UT,Male,29,$394
Bernice Irwin,FL,Female,88,$82
Bernie Cardenas,NC,Male,51,$25
Bernie Fischer,AL,Male,69,$305
Bernie Kirkland,CA,Male,52,$540
Bert Swanson,TX,Male,62,$383
Berta Cook,VA,Female,56,$309
Bertha McLeod,NJ,Female,63,$265
Bertha Wong,VA,Female,33,$60
Bertram Fernandez,AZ,Male,35,$310
Bertram Kennedy,SC,Male,54,$218
Bessie Floyd,NY,Female,59,$499
Bessie Mclean,GA,Female,30,$103
Beth Fernandez,TX,Female,37,$899
Beth Jackson,NY,Female,77,$558
Beth Tyson,NC,Female,74,$284
Bethany Hoover,PA,Female,63,$527
Betsy Maxwell,PA,Female,55,$204
Betsy Oneal,TX,Female,81,$39
Betsy Rutledge,CO,Female,25,$231
Bette Cunningham,SC,Female,71,$335
Bette Glass,CO,Female,73,$548
Bettie Berger,PA,Female,28,$198
Bettie Mann,PA,Female,42,$105
Bettie Pate,FL,Female,86,$44
Bettie Wolfe,MA,Female,69,$200
Betty Huff,GA,Female,39,$569
Betty Summers,OH,Female,59,$496
Betty Walsh,LA,Female,65,$60
Betty Walter,GA,Female,45,$552
Bettye Henson,FL,Female,45,$219
Bettye Hodges,NJ,Female,27,$206
Bettye Ingram,FL,Female,75,$100
Bettye Ramirez,TN,Female,25,$80
Beulah Kent,TX,Female,39,$99
Beulah Mayo,VA,Female,30,$479
Beverley Calhoun,GA,Female,65,$20
Beverley Kemp,CA,Female,60,$180
Beverley Waters,GA,Female,26,$252
Beverly Lawrence,CA,Female,41,$211
Beverly Ratliff,TN,Female,38,$349
Bill Green,MA,Male,69,$100
Billie Hurst,CO,Male,38,$52
Billie Morales,AL,Male,31,$40
Billie Pittman,LA,Male,34,$65
Billie Summers,AL,Female,47,$120
Billy Poole,TX,Male,72,$39
Blaine Harrell,CT,Male,68,$177
Blaine Porter,CA,Male,52,$82
Blaine Ward,FL,Male,45,$486
Blair Camacho,OH,Male,48,$131
Blake McClure,NY,Male,54,$120
Blanca Bryan,GA,Female,57,$120
Blanca Vasquez,AZ,Female,45,$578
Bo Stanley,FL,Male,82,$1000
Bob Clements,CT,Male,72,$140
Bob Crosby,TX,Male,38,$420
Bob Farmer,TX,Male,81,$479
Bob Glass,TX,Male,74,$614
Bob Gould,TX,Male,62,$339
Bob Griffith,NJ,Male,50,$80
Bob Hunter,TX,Male,67,$86
Bob Hurst,OR,Male,29,$78
Bob Jarvis,NY,Male,21,$234
Bob Merritt,FL,Male,94,$240
Bob Pollard,NJ,Male,57,$420
Bob Ruiz,MA,Male,38,$330
Bob Salazar,CO,Male,73,$39
Bob Underwood,VA,Male,50,$1443
Bob Wong,FL,Male,77,$80
Bobbi Burke,PA,Female,51,$309
Bobbi Ellison,CA,Female,56,$1020
Bobbi Hayden,NY,Female,30,$205
Bobbi Mack,NJ,Female,24,$60
Bobbi Neal,TN,Female,25,$439
Bobbie Golden,TX,Female,61,$160
Bobbie Hays,PA,Female,55,$75
Bobbie Ratliff,OH,Male,55,$1009
Bobbie Ross,NJ,Female,34,$396
Bobby Forbes,NC,Male,50,$125
Bobby Greer,CA,Male,41,$180
Bobby Harrington,FL,Male,73,$206
Bobby Hatfield,CO,Male,28,$290
Bonnie Puckett,NC,Female,46,$245
Booker Torres,VA,Male,30,$75
Boyce Hudson,FL,Male,57,$943
Boyd Gibson,CT,Male,43,$58
Boyd Hayes,NC,Male,40,$250
Boyd King,WA,Male,50,$330
Boyd Wyatt,NY,Male,70,$50
Brad Hale,CA,Male,49,$190
Bradford Barber,TX,Male,47,$269
Bradford Cooke,MA,Male,46,$102
Bradford McIntyre,TX,Male,37,$240
Bradley Gonzales,SC,Male,69,$479
Bradley Madden,GA,Male,43,$180
Bradley Velez,NY,Male,62,$117
Bradley Vincent,VA,Male,28,$1016
Bradly Martinez,TN,Male,39,$224
Brady Bishop,CA,Male,43,$200
Brady McDaniel,FL,Male,69,$175
Brain Compton,AZ,Male,40,$1000
Brain Pugh,NC,Male,41,$305
Brain Rocha,GA,Male,41,$210
Branden Mendoza,NY,Male,37,$536
Branden Palmer,NC,Male,55,$50
Branden Washington,CT,Male,22,$120
Brandon Albert,CA,Male,60,$135
Brandon Melton,FL,Male,51,$424
Brandy Booker,NY,Female,65,$117
Brandy Bray,CA,Female,40,$532
Brandy Pollard,CT,Female,33,$26
Brant Grimes,GA,Male,73,$164
Brenda Ewing,NH,Female,63,$838
Brenda Hooper,FL,Female,95,$135
Brendan Ballard,TX,Male,40,$889
Brendan Peck,GA,Male,74,$355
Brendan Sosa,NC,Male,69,$411
Brendon Browning,TX,Male,45,$168
Brendon Estrada,GA,Male,22,$249
Brendon Mendoza,PA,Male,40,$311
Brent Garza,CA,Male,38,$180
Brent Hays,LA,Male,55,$537
Brent Keith,CA,Male,67,$150
Brent Noel,FL,Male,63,$30
Brenton Cantu,WA,Male,41,$415
Brenton Fields,OH,Male,50,$280
Bret Carey,LA,Male,37,$1000
Bret Carter,FL,Male,42,$241
Brett Conley,FL,Male,51,$60
Brett Dunlap,OR,Male,48,$540
Brian Fry,LA,Male,63,$180
Brian Norton,TX,Male,70,$739
Brian Sampson,TX,Male,35,$120
Brian Todd,PA,Male,48,$272
Briana McGuire,TX,Female,46,$367
Brianna Park,WA,Female,57,$300
Brice Cruz,NC,Male,30,$192
Brice Solomon,CT,Male,56,$400
Bridget Compton,NY,Female,26,$602
Bridget Freeman,PA,Female,63,$195
Bridget Holmes,FL,Female,92,$291
Bridgett Battle,AL,Female,53,$368
Bridgett Booker,FL,Female,56,$233
Bridgett Clements,FL,Female,73,$210
Bridgett Farmer,FL,Female,88,$479
Britney Cross,PA,Female,28,$479
Britney Dunlap,CO,Female,50,$140
Britney McFarland,MA,Female,52,$560
Britt Johnston,FL,Male,42,$26
Britt Simon,NC,Male,62,$326
Brittany Simmons,FL,Female,88,$220
Brock Boyd,FL,Male,79,$160
Brooke Bates,NJ,Female,68,$600
Brooke Cabrera,GA,Female,70,$333
Brooke Duncan,RI,Female,28,$279
Brooke Herrera,GA,Female,57,$135
Brooke Odonnell,CA,Female,52,$251
Brooks Rodriquez,TX,Male,47,$190
Bruce Dale,TN,Male,43,$475
Bruno Hawkins,CO,Male,50,$866
Bryan Pearson,CA,Male,36,$487
Bryan Rios,CA,Male,56,$80
Bryant Ayers,TN,Male,24,$200
Bryce Ayala,NH,Male,39,$409
Bryce Marshall,NY,Male,59,$338
Bryce Moses,NY,Male,33,$132
Bryon Ewing,TX,Male,76,$28
Bryon Fletcher,OH,Male,54,$417
Bryon Goff,TX,Male,45,$100
Bud Jacobs,NM,Male,32,$190
Bud Noble,CT,Male,24,$509
Bud Salas,SC,Male,36,$100
Bud Ware,VA,Male,34,$278
Buddy Gibson,GA,Male,46,$205
Buddy Preston,GA,Male,48,$359
Buddy Puckett,RI,Male,47,$240
Burl McKee,FL,Male,62,$354
Burt Donaldson,CO,Male,56,$376
Burt Holden,FL,Male,60,$124
Burt Merrill,RI,Male,47,$369
Burt Stevens,CO,Male,44,$309
Buster Miles,WA,Male,67,$140
Buster Roy,FL,Male,43,$120
Byron Daniels,CA,Male,35,$530
Caitlin Klein,TX,Female,61,$125
Caitlin McClure,OR,Female,36,$358
Caitlin Schroeder,AZ,Female,73,$327
Caitlin Sims,FL,Female,51,$301
Caleb Norris,FL,Male,75,$30
Caleb Pacheco,GA,Male,58,$15
Caleb Valentine,TX,Male,79,$73
Callie Burke,NY,Female,39,$190
Callie Macdonald,MA,Female,59,$446
Callie Madden,NC,Female,75,$225
Calvin Holland,NC,Male,50,$40
Cameron Cannon,PA,Male,62,$339
Cameron Cohen,TX,Male,69,$180
Cameron Gardner,MA,Male,66,$197
Cameron Saunders,NC,Male,44,$189
Camille Santiago,TX,Female,56,$300
Candace Gilbert,TN,Female,31,$464
Candy Austin,NC,Female,62,$427
Cara Berry,LA,Female,66,$112
Cara Sutton,FL,Female,60,$1000
Carey Lucas,AZ,Male,79,$60
Carissa Finch,AL,Female,56,$20
Carissa Sherman,CA,Female,56,$80
Carl Dalton,CT,Male,39,$879
Carl Sweet,CO,Male,60,$165
Carlene Gordon,FL,Female,58,$284
Carlene Ortiz,LA,Female,75,$58
Carlene Robinson,VA,Female,38,$420
Carlo Leblanc,NJ,Male,72,$459
Carlos Shaffer,MA,Male,24,$210
Carlton Bush,CT,Male,48,$356
Carlton Pearson,GA,Male,44,$290
Carlton Peck,WA,Male,72,$269
Carlton Russell,CA,Male,70,$619
Carly Fisher,OH,Female,27,$60
Carmela Becker,FL,Female,82,$259
Carmela Marsh,WA,Female,32,$120
Carmela Ramsey,WA,Female,34,$70
Carmella Burton,MA,Female,34,$145
Carmella Hopper,GA,Female,49,$979
Carmella Meyer,TX,Female,53,$177
Carmella Spence,LA,Female,52,$60
Carmelo Christensen,CA,Male,69,$475
Carmelo McDaniel,FL,Male,65,$373
Carmelo Preston,NC,Male,69,$40
Carmen Madden,TX,Female,57,$315
Carmen Sellers,SC,Female,71,$703
Carmine Burke,AZ,Male,80,$113
Carmine Patterson,VA,Male,73,$692
Carmine Stark,CA,Male,26,$180
Carol Slater,AZ,Male,41,$909
Carole McBride,FL,Female,88,$20
Carole Suarez,FL,Female,46,$132
Carolina Black,TX,Female,45,$95
Carolina Diaz,CA,Female,31,$120
Caroline Acosta,CA,Female,66,$259
Carolyn Banks,VA,Female,48,$140
Carolyn Burch,CA,Female,32,$235
Carolyn Maddox,OR,Female,61,$348
Carolyn Sherman,NC,Female,52,$30
Carrie Gomez,TX,Female,63,$60
Carrie Key,NC,Female,49,$200
Carrie Rocha,OR,Female,52,$235
Carson Barron,NY,Male,54,$236
Carson Pruitt,NY,Male,68,$157
Carter Blackburn,PA,Male,72,$134
Carter Gillespie,SC,Male,21,$73
Cary Forbes,FL,Male,53,$655
Cary Gillespie,AZ,Male,56,$344
Cary Horne,FL,Male,81,$379
Cary Soto,NY,Male,72,$170
Cary Wells,WA,Male,43,$180
Casandra Dunn,NH,Female,43,$78
Casey McKee,GA,Male,60,$358
Casey Steele,FL,Male,76,$330
Casey Wilkins,CA,Female,52,$100
Cassandra Blair,CT,Female,43,$20
Cassandra Burris,CA,Female,56,$798
Cassandra Sanchez,LA,Female,75,$447
Cassie Walsh,CA,Female,28,$560
Catalina Barlow,CA,Female,32,$182
Catalina Powers,VA,Female,53,$560
Cathleen Martinez,OR,Female,28,$1254
Cathryn Burton,FL,Female,57,$419
Cathryn Richardson,MA,Female,51,$113
Cathryn Rush,FL,Female,90,$60
Cathryn Sutton,FL,Female,49,$539
Cathy Melendez,TN,Female,57,$334
Cecil Davis,NY,Male,29,$479
Cedric Russell,RI,Male,30,$420
Cedrick Beck,FL,Male,81,$2080
Cedrick Calhoun,LA,Male,35,$560
Celia Castro,NC,Female,49,$881
Celia OBrien,FL,Female,95,$100
Celina Estrada,NC,Female,36,$52
Celina Simpson,FL,Female,88,$653
Celina Villarreal,OR,Female,74,$979
Cesar Morgan,CT,Male,70,$250
Cesar Salazar,TX,Male,64,$229
Cesar Walsh,TX,Male,64,$325
Chad Burris,CT,Male,39,$547
Chad Erickson,NJ,Male,71,$13
Chadwick Castaneda,TX,Male,41,$183
Chadwick Flores,FL,Male,52,$172
Chadwick Lindsay,GA,Male,48,$75
Chadwick Rosa,AZ,Male,69,$281
Chance McClain,FL,Male,57,$20
Chance Robles,FL,Male,86,$335
Chandra Acosta,FL,Female,89,$90
Chang Nielsen,LA,Male,47,$324
Chang Stephens,NC,Male,39,$140
Charles Bolton,FL,Male,71,$334
Charles Brady,NY,Male,31,$224
Charley Ewing,NM,Male,78,$65
Charley Hensley,TX,Male,62,$100
Charley Juarez,FL,Male,48,$233
Charlie Pacheco,FL,Male,74,$272
Charlotte Harris,CO,Female,73,$332
Charlotte Powell,TX,Female,78,$439
Charmaine Cantrell,NC,Female,43,$265
Chas Macias,AZ,Male,77,$410
Chase Hernandez,NC,Male,36,$107
Chauncey Mercer,OR,Male,42,$180
Chauncey Salinas,TX,Male,40,$721
Chelsea Simpson,FL,Female,73,$800
Cherie Ayers,FL,Female,55,$75
Cherry Hutchinson,NC,Female,58,$276
Cherry Roth,OR,Female,25,$248
Cheryl Kidd,CA,Female,68,$274
Cheryl Watkins,FL,Female,81,$129
Chester Dickson,GA,Male,60,$326
Chester Gillespie,TX,Male,74,$60
Chester Montoya,CA,Male,23,$20
Chester Tyler,MA,Male,36,$369
Chi Farrell,TX,Male,68,$263
Chong Pate,OH,Male,35,$499
Chris Dodson,GA,Female,75,$250
Chris Harrell,NY,Female,52,$140
Christa Bailey,FL,Female,74,$749
Christa Foley,OH,Female,71,$220
Christi Brock,FL,Female,45,$335
Christi Moss,AZ,Female,54,$101
Christi Vang,MA,Female,28,$639
Christian Cox,FL,Female,71,$280
Christian Curry,NJ,Male,28,$334
Christian Dickerson,NC,Male,66,$544
Christian Howe,TX,Female,43,$431
Christian Stafford,VA,Male,26,$469
Christie Sloan,NC,Female,33,$242
Christine Castro,WA,Female,51,$420
Christine Nicholson,OH,Female,76,$180
Christoper Houston,PA,Male,29,$60
Christopher Dixon,VA,Male,60,$240
Christy Hopkins,VA,Female,67,$90
Christy Richard,CO,Female,42,$455
Chrystal Delaney,TX,Female,36,$198
Chrystal Hart,NC,Female,49,$130
Chrystal Morin,FL,Female,90,$20
Chrystal Nelson,CO,Female,34,$444
Chuck Eaton,TX,Male,39,$15
Claire Franco,SC,Female,37,$577
Clare Graves,NC,Female,34,$338
Clarence Bentley,GA,Male,68,$182
Clarence Craig,CA,Male,30,$44
Clarice Baxter,CA,Female,70,$236
Clarice Farrell,NM,Female,45,$349
Clarice Nicholson,WA,Female,63,$258
Clarice Pollard,AL,Female,46,$65
Clarissa Norton,FL,Female,85,$300
Clarissa Soto,CO,Female,64,$959
Clark Abbott,GA,Male,21,$85
Clark Hoover,NC,Male,69,$365
Claud Torres,CA,Male,42,$161
Claudette Gillespie,CA,Female,45,$159
Claudette Key,NY,Female,61,$719
Claudette Wagner,CA,Female,24,$604
Claudia Morgan,GA,Female,77,$336
Claudine Morrow,WA,Female,61,$80
Claudine Tillman,CA,Female,59,$60
Clay Romero,FL,Male,71,$243
Clayton Marsh,TN,Male,65,$379
Clayton Mullins,NY,Male,32,$148
Clayton Nielsen,AL,Male,53,$731
